Vessel,VesselID,CT1,CT1Label,CT1ID,BGene1,BGene1Label,BGene1ID,BGene2,BGene2Label,BGene2ID,BGene3,BGene3Label,BGene3ID,BGene4,BGene4Label,BGene4ID,PathFromHeart
accessory vertebral vein,FMA:14290,blood vessel endothelial cell,blood vessel endothelial cell,CL:0000071,CDH5,CDH5,HGNC:1764,PECAM1,PECAM1,HGNC:8823,TEK,TEK,HGNC:11724,TIE1,TIE1,HGNC:11809,right atrium;superior vena cava;brachiocephalic vein;vertebral vein;accessory vertebral vein
accessory vertebral vein,FMA:14290,endothelial cell of vein,vein endothelial cell,CL:0002543,,,,,,,,,,,,,right atrium;superior vena cava;brachiocephalic vein;vertebral vein;accessory vertebral vein
acetabular branch of obturator artery,FMA:70175,blood vessel endothelial cell,blood vessel endothelial cell,CL:0000071,CDH5,CDH5,HGNC:1764,PECAM1,PECAM1,HGNC:8823,TEK,TEK,HGNC:11724,TIE1,TIE1,HGNC:11809,left ventricle;aorta;ascending aorta;aortic arch;descending aorta;descending thoracic aorta;abdominal aorta;common iliac artery;internal iliac artery;anterior division of internal iliac artery;obturator artery;acetabular branch of obturator artery
acetabular branch of obturator artery,FMA:70175,endothelial cell of artery,endothelial cell of artery,CL:1000413,,,,,,,,,,,,,left ventricle;aorta;ascending aorta;aortic arch;descending aorta;descending thoracic aorta;abdominal aorta;common iliac artery;internal iliac artery;anterior division of internal iliac artery;obturator artery;acetabular branch of obturator artery
acetabular branch of obturator artery,FMA:70175,fibroblast,fibroblast,CL:0000057,AIFM2,AIFM2,HGNC:21411,DDR2,DDR2,HGNC:2731,,,,,,,left ventricle;aorta;ascending aorta;aortic arch;descending aorta;descending thoracic aorta;abdominal aorta;common iliac artery;internal iliac artery;anterior division of internal iliac artery;obturator artery;acetabular branch of obturator artery
acetabular branch of obturator artery,FMA:70175,vascular smooth muscle cell,vascular associated smooth muscle cell,CL:0000359,ACTA2,ACTA2,HGNC:130,CNN1,CNN1,HGNC:2155,MYOCD,MYOCD,HGNC:16067,TAGLN,TAGLN,HGNC:11553,left ventricle;aorta;ascending aorta;aortic arch;descending aorta;descending thoracic aorta;abdominal aorta;common iliac artery;internal iliac artery;anterior division of internal iliac artery;obturator artery;acetabular branch of obturator artery
acromial branch of thoracoacromial artery,FMA:23065,blood vessel endothelial cell,blood vessel endothelial cell,CL:0000071,CDH5,CDH5,HGNC:1764,PECAM1,PECAM1,HGNC:8823,TEK,TEK,HGNC:11724,TIE1,TIE1,HGNC:11809,left ventricle;aorta;ascending aorta;aortic arch;subclavian artery;axillary artery;thoracoacromial artery;acromial branch of thoracoacromial artery
acromial branch of thoracoacromial artery,FMA:23065,endothelial cell of artery,endothelial cell of artery,CL:1000413,,,,,,,,,,,,,left ventricle;aorta;ascending aorta;aortic arch;subclavian artery;axillary artery;thoracoacromial artery;acromial branch of thoracoacromial artery
acromial branch of thoracoacromial artery,FMA:23065,fibroblast,fibroblast,CL:0000057,AIFM2,AIFM2,HGNC:21411,DDR2,DDR2,HGNC:2731,,,,,,,left ventricle;aorta;ascending aorta;aortic arch;subclavian artery;axillary artery;thoracoacromial artery;acromial branch of thoracoacromial artery
acromial branch of thoracoacromial artery,FMA:23065,vascular smooth muscle cell,vascular associated smooth muscle cell,CL:0000359,ACTA2,ACTA2,HGNC:130,CNN1,CNN1,HGNC:2155,MYOCD,MYOCD,HGNC:16067,TAGLN,TAGLN,HGNC:11553,left ventricle;aorta;ascending aorta;aortic arch;subclavian artery;axillary artery;thoracoacromial artery;acromial branch of thoracoacromial artery
alveolar artery,UBERON:0009654,blood vessel endothelial cell,blood vessel endothelial cell,CL:0000071,CDH5,CDH5,HGNC:1764,PECAM1,PECAM1,HGNC:8823,TEK,TEK,HGNC:11724,TIE1,TIE1,HGNC:11809,left ventricle;aorta;ascending aorta;aortic arch;common carotid artery;external carotid artery;maxillary artery;alveolar artery
alveolar artery,UBERON:0009654,endothelial cell of artery,endothelial cell of artery,CL:1000413,,,,,,,,,,,,,left ventricle;aorta;ascending aorta;aortic arch;common carotid artery;external carotid artery;maxillary artery;alveolar artery
alveolar artery,UBERON:0009654,fibroblast,fibroblast,CL:0000057,AIFM2,AIFM2,HGNC:21411,DDR2,DDR2,HGNC:2731,,,,,,,left ventricle;aorta;ascending aorta;aortic arch;common carotid artery;external carotid artery;maxillary artery;alveolar artery
alveolar artery,UBERON:0009654,vascular smooth muscle cell,vascular associated smooth muscle cell,CL:0000359,ACTA2,ACTA2,HGNC:130,CNN1,CNN1,HGNC:2155,MYOCD,MYOCD,HGNC:16067,TAGLN,TAGLN,HGNC:11553,left ventricle;aorta;ascending aorta;aortic arch;common carotid artery;external carotid artery;maxillary artery;alveolar artery
alveolar capillary,,blood vessel endothelial cell,blood vessel endothelial cell,CL:0000071,CDH5,CDH5,HGNC:1764,PECAM1,PECAM1,HGNC:8823,TEK,TEK,HGNC:11724,TIE1,TIE1,HGNC:11809,right ventricle;pulmonary trunk;left pulmonary artery;segmental pulmonary artery;subsegmental pulmonary artery;pulmonary arteriole;intra-acinar arteriole;pre-alveolar capillary;alveolar capillary
alveolar capillary,,capillary endothelial cell,capillary endothelial cell,CL:0002144,,,,,,,,,,,,,right ventricle;pulmonary trunk;left pulmonary artery;segmental pulmonary artery;subsegmental pulmonary artery;pulmonary arteriole;intra-acinar arteriole;pre-alveolar capillary;alveolar capillary
angular artery,UBERON:0010408,blood vessel endothelial cell,blood vessel endothelial cell,CL:0000071,CDH5,CDH5,HGNC:1764,PECAM1,PECAM1,HGNC:8823,TEK,TEK,HGNC:11724,TIE1,TIE1,HGNC:11809,left ventricle;aorta;ascending aorta;aortic arch;common carotid artery;external carotid artery;facial artery;angular artery
angular artery,UBERON:0010408,endothelial cell of artery,endothelial cell of artery,CL:1000413,,,,,,,,,,,,,left ventricle;aorta;ascending aorta;aortic arch;common carotid artery;external carotid artery;facial artery;angular artery
angular artery,UBERON:0010408,fibroblast,fibroblast,CL:0000057,AIFM2,AIFM2,HGNC:21411,DDR2,DDR2,HGNC:2731,,,,,,,left ventricle;aorta;ascending aorta;aortic arch;common carotid artery;external carotid artery;facial artery;angular artery
angular artery,UBERON:0010408,vascular smooth muscle cell,vascular associated smooth muscle cell,CL:0000359,ACTA2,ACTA2,HGNC:130,CNN1,CNN1,HGNC:2155,MYOCD,MYOCD,HGNC:16067,TAGLN,TAGLN,HGNC:11553,left ventricle;aorta;ascending aorta;aortic arch;common carotid artery;external carotid artery;facial artery;angular artery
angular vein,UBERON:0014686,blood vessel endothelial cell,blood vessel endothelial cell,CL:0000071,CDH5,CDH5,HGNC:1764,PECAM1,PECAM1,HGNC:8823,TEK,TEK,HGNC:11724,TIE1,TIE1,HGNC:11809,right atrium;superior vena cava;brachiocephalic vein;internal jugular vein;facial vein;angular vein
angular vein,UBERON:0014686,endothelial cell of vein,vein endothelial cell,CL:0002543,,,,,,,,,,,,,right atrium;superior vena cava;brachiocephalic vein;internal jugular vein;facial vein;angular vein
anterior accessory saphenous vein,,blood vessel endothelial cell,blood vessel endothelial cell,CL:0000071,CDH5,CDH5,HGNC:1764,PECAM1,PECAM1,HGNC:8823,TEK,TEK,HGNC:11724,TIE1,TIE1,HGNC:11809,right atrium;inferior vena cava;common iliac vein;external iliac vein;femoral vein;great saphenous vein;anterior accessory saphenous vein
anterior accessory saphenous vein,,endothelial cell of vein,vein endothelial cell,CL:0002543,,,,,,,,,,,,,right atrium;inferior vena cava;common iliac vein;external iliac vein;femoral vein;great saphenous vein;anterior accessory saphenous vein
anterior auricular branch of superficial temporal artery,FMA:49660,blood vessel endothelial cell,blood vessel endothelial cell,CL:0000071,CDH5,CDH5,HGNC:1764,PECAM1,PECAM1,HGNC:8823,TEK,TEK,HGNC:11724,TIE1,TIE1,HGNC:11809,left ventricle;aorta;ascending aorta;aortic arch;common carotid artery;external carotid artery;superficial temporal artery;anterior auricular branch of superficial temporal artery
anterior auricular branch of superficial temporal artery,FMA:49660,endothelial cell of artery,endothelial cell of artery,CL:1000413,,,,,,,,,,,,,left ventricle;aorta;ascending aorta;aortic arch;common carotid artery;external carotid artery;superficial temporal artery;anterior auricular branch of superficial temporal artery
anterior auricular branch of superficial temporal artery,FMA:49660,fibroblast,fibroblast,CL:0000057,AIFM2,AIFM2,HGNC:21411,DDR2,DDR2,HGNC:2731,,,,,,,left ventricle;aorta;ascending aorta;aortic arch;common carotid artery;external carotid artery;superficial temporal artery;anterior auricular branch of superficial temporal artery
anterior auricular branch of superficial temporal artery,FMA:49660,vascular smooth muscle cell,vascular associated smooth muscle cell,CL:0000359,ACTA2,ACTA2,HGNC:130,CNN1,CNN1,HGNC:2155,MYOCD,MYOCD,HGNC:16067,TAGLN,TAGLN,HGNC:11553,left ventricle;aorta;ascending aorta;aortic arch;common carotid artery;external carotid artery;superficial temporal artery;anterior auricular branch of superficial temporal artery
anterior basal segmental artery of left lung,FMA:8645,blood vessel endothelial cell,blood vessel endothelial cell,CL:0000071,CDH5,CDH5,HGNC:1764,PECAM1,PECAM1,HGNC:8823,TEK,TEK,HGNC:11724,TIE1,TIE1,HGNC:11809,right ventricle;pulmonary trunk;left pulmonary artery;left interlobar pulmonary artery;basal segmental arterial trunk of left lung;anterior basal segmental artery of left lung
anterior basal segmental artery of left lung,FMA:8645,endothelial cell of artery,endothelial cell of artery,CL:1000413,,,,,,,,,,,,,right ventricle;pulmonary trunk;left pulmonary artery;left interlobar pulmonary artery;basal segmental arterial trunk of left lung;anterior basal segmental artery of left lung
anterior basal segmental artery of left lung,FMA:8645,fibroblast,fibroblast,CL:0000057,AIFM2,AIFM2,HGNC:21411,DDR2,DDR2,HGNC:2731,,,,,,,right ventricle;pulmonary trunk;left pulmonary artery;left interlobar pulmonary artery;basal segmental arterial trunk of left lung;anterior basal segmental artery of left lung
anterior basal segmental artery of left lung,FMA:8645,vascular smooth muscle cell,vascular associated smooth muscle cell,CL:0000359,ACTA2,ACTA2,HGNC:130,CNN1,CNN1,HGNC:2155,MYOCD,MYOCD,HGNC:16067,TAGLN,TAGLN,HGNC:11553,right ventricle;pulmonary trunk;left pulmonary artery;left interlobar pulmonary artery;basal segmental arterial trunk of left lung;anterior basal segmental artery of left lung
anterior basal segmental artery of right lung,FMA:8630,blood vessel endothelial cell,blood vessel endothelial cell,CL:0000071,CDH5,CDH5,HGNC:1764,PECAM1,PECAM1,HGNC:8823,TEK,TEK,HGNC:11724,TIE1,TIE1,HGNC:11809,right ventricle;pulmonary trunk;right pulmonary artery;right interlobar pulmonary artery;basal segmental arterial trunk of right lung;anterior basal segmental artery of right lung
anterior basal segmental artery of right lung,FMA:8630,endothelial cell of artery,endothelial cell of artery,CL:1000413,,,,,,,,,,,,,right ventricle;pulmonary trunk;right pulmonary artery;right interlobar pulmonary artery;basal segmental arterial trunk of right lung;anterior basal segmental artery of right lung
anterior basal segmental artery of right lung,FMA:8630,fibroblast,fibroblast,CL:0000057,AIFM2,AIFM2,HGNC:21411,DDR2,DDR2,HGNC:2731,,,,,,,right ventricle;pulmonary trunk;right pulmonary artery;right interlobar pulmonary artery;basal segmental arterial trunk of right lung;anterior basal segmental artery of right lung
anterior basal segmental artery of right lung,FMA:8630,vascular smooth muscle cell,vascular associated smooth muscle cell,CL:0000359,ACTA2,ACTA2,HGNC:130,CNN1,CNN1,HGNC:2155,MYOCD,MYOCD,HGNC:16067,TAGLN,TAGLN,HGNC:11553,right ventricle;pulmonary trunk;right pulmonary artery;right interlobar pulmonary artery;basal segmental arterial trunk of right lung;anterior basal segmental artery of right lung
anterior branch of obturator artery,FMA:70150,blood vessel endothelial cell,blood vessel endothelial cell,CL:0000071,CDH5,CDH5,HGNC:1764,PECAM1,PECAM1,HGNC:8823,TEK,TEK,HGNC:11724,TIE1,TIE1,HGNC:11809,left ventricle;aorta;ascending aorta;aortic arch;descending aorta;descending thoracic aorta;abdominal aorta;common iliac artery;internal iliac artery;anterior division of internal iliac artery;obturator artery;anterior branch of obturator artery
anterior branch of obturator artery,FMA:70150,endothelial cell of artery,endothelial cell of artery,CL:1000413,,,,,,,,,,,,,left ventricle;aorta;ascending aorta;aortic arch;descending aorta;descending thoracic aorta;abdominal aorta;common iliac artery;internal iliac artery;anterior division of internal iliac artery;obturator artery;anterior branch of obturator artery
anterior branch of obturator artery,FMA:70150,fibroblast,fibroblast,CL:0000057,AIFM2,AIFM2,HGNC:21411,DDR2,DDR2,HGNC:2731,,,,,,,left ventricle;aorta;ascending aorta;aortic arch;descending aorta;descending thoracic aorta;abdominal aorta;common iliac artery;internal iliac artery;anterior division of internal iliac artery;obturator artery;anterior branch of obturator artery
anterior branch of obturator artery,FMA:70150,vascular smooth muscle cell,vascular associated smooth muscle cell,CL:0000359,ACTA2,ACTA2,HGNC:130,CNN1,CNN1,HGNC:2155,MYOCD,MYOCD,HGNC:16067,TAGLN,TAGLN,HGNC:11553,left ventricle;aorta;ascending aorta;aortic arch;descending aorta;descending thoracic aorta;abdominal aorta;common iliac artery;internal iliac artery;anterior division of internal iliac artery;obturator artery;anterior branch of obturator artery
anterior branch of retromandibular vein,,blood vessel endothelial cell,blood vessel endothelial cell,CL:0000071,CDH5,CDH5,HGNC:1764,PECAM1,PECAM1,HGNC:8823,TEK,TEK,HGNC:11724,TIE1,TIE1,HGNC:11809,right atrium;superior vena cava;brachiocephalic vein;internal jugular vein;common facial vein;anterior branch of retromandibular vein
anterior branch of retromandibular vein,,endothelial cell of vein,vein endothelial cell,CL:0002543,,,,,,,,,,,,,right atrium;superior vena cava;brachiocephalic vein;internal jugular vein;common facial vein;anterior branch of retromandibular vein
anterior cecal artery,FMA:14816,blood vessel endothelial cell,blood vessel endothelial cell,CL:0000071,CDH5,CDH5,HGNC:1764,PECAM1,PECAM1,HGNC:8823,TEK,TEK,HGNC:11724,TIE1,TIE1,HGNC:11809,left ventricle;aorta;ascending aorta;aortic arch;descending aorta;descending thoracic aorta;abdominal aorta;superior mesenteric artery;ileocolic artery;colic branch of ileocolic artery;anterior cecal artery
anterior cecal artery,FMA:14816,endothelial cell of artery,endothelial cell of artery,CL:1000413,,,,,,,,,,,,,left ventricle;aorta;ascending aorta;aortic arch;descending aorta;descending thoracic aorta;abdominal aorta;superior mesenteric artery;ileocolic artery;colic branch of ileocolic artery;anterior cecal artery
anterior cecal artery,FMA:14816,fibroblast,fibroblast,CL:0000057,AIFM2,AIFM2,HGNC:21411,DDR2,DDR2,HGNC:2731,,,,,,,left ventricle;aorta;ascending aorta;aortic arch;descending aorta;descending thoracic aorta;abdominal aorta;superior mesenteric artery;ileocolic artery;colic branch of ileocolic artery;anterior cecal artery
anterior cecal artery,FMA:14816,vascular smooth muscle cell,vascular associated smooth muscle cell,CL:0000359,ACTA2,ACTA2,HGNC:130,CNN1,CNN1,HGNC:2155,MYOCD,MYOCD,HGNC:16067,TAGLN,TAGLN,HGNC:11553,left ventricle;aorta;ascending aorta;aortic arch;descending aorta;descending thoracic aorta;abdominal aorta;superior mesenteric artery;ileocolic artery;colic branch of ileocolic artery;anterior cecal artery
anterior cerebral artery,UBERON:0001624,blood vessel endothelial cell,blood vessel endothelial cell,CL:0000071,CDH5,CDH5,HGNC:1764,PECAM1,PECAM1,HGNC:8823,TEK,TEK,HGNC:11724,TIE1,TIE1,HGNC:11809,left ventricle;aorta;ascending aorta;aortic arch;common carotid artery;internal carotid artery;anterior cerebral artery
anterior cerebral artery,UBERON:0001624,endothelial cell of artery,endothelial cell of artery,CL:1000413,,,,,,,,,,,,,left ventricle;aorta;ascending aorta;aortic arch;common carotid artery;internal carotid artery;anterior cerebral artery
anterior cerebral artery,UBERON:0001624,fibroblast,fibroblast,CL:0000057,AIFM2,AIFM2,HGNC:21411,DDR2,DDR2,HGNC:2731,,,,,,,left ventricle;aorta;ascending aorta;aortic arch;common carotid artery;internal carotid artery;anterior cerebral artery
anterior cerebral artery,UBERON:0001624,vascular smooth muscle cell,vascular associated smooth muscle cell,CL:0000359,ACTA2,ACTA2,HGNC:130,CNN1,CNN1,HGNC:2155,MYOCD,MYOCD,HGNC:16067,TAGLN,TAGLN,HGNC:11553,left ventricle;aorta;ascending aorta;aortic arch;common carotid artery;internal carotid artery;anterior cerebral artery
anterior cerebral vein,UBERON:0001672,blood vessel endothelial cell,blood vessel endothelial cell,CL:0000071,CDH5,CDH5,HGNC:1764,PECAM1,PECAM1,HGNC:8823,TEK,TEK,HGNC:11724,TIE1,TIE1,HGNC:11809,right atrium;superior vena cava;brachiocephalic vein;internal jugular vein;sigmoid sinus;transverse sinus;confluence of sinuses;straight sinus;great cerebral vein;basal vein;anterior cerebral vein
anterior cerebral vein,UBERON:0001672,endothelial cell of vein,vein endothelial cell,CL:0002543,,,,,,,,,,,,,right atrium;superior vena cava;brachiocephalic vein;internal jugular vein;sigmoid sinus;transverse sinus;confluence of sinuses;straight sinus;great cerebral vein;basal vein;anterior cerebral vein
anterior choroidal artery,UBERON:0014696,blood vessel endothelial cell,blood vessel endothelial cell,CL:0000071,CDH5,CDH5,HGNC:1764,PECAM1,PECAM1,HGNC:8823,TEK,TEK,HGNC:11724,TIE1,TIE1,HGNC:11809,left ventricle;aorta;ascending aorta;aortic arch;common carotid artery;internal carotid artery;anterior choroidal artery
anterior choroidal artery,UBERON:0014696,endothelial cell of artery,endothelial cell of artery,CL:1000413,,,,,,,,,,,,,left ventricle;aorta;ascending aorta;aortic arch;common carotid artery;internal carotid artery;anterior choroidal artery
anterior choroidal artery,UBERON:0014696,fibroblast,fibroblast,CL:0000057,AIFM2,AIFM2,HGNC:21411,DDR2,DDR2,HGNC:2731,,,,,,,left ventricle;aorta;ascending aorta;aortic arch;common carotid artery;internal carotid artery;anterior choroidal artery
anterior choroidal artery,UBERON:0014696,vascular smooth muscle cell,vascular associated smooth muscle cell,CL:0000359,ACTA2,ACTA2,HGNC:130,CNN1,CNN1,HGNC:2155,MYOCD,MYOCD,HGNC:16067,TAGLN,TAGLN,HGNC:11553,left ventricle;aorta;ascending aorta;aortic arch;common carotid artery;internal carotid artery;anterior choroidal artery
anterior ciliary artery,FMA:49962,blood vessel endothelial cell,blood vessel endothelial cell,CL:0000071,CDH5,CDH5,HGNC:1764,PECAM1,PECAM1,HGNC:8823,TEK,TEK,HGNC:11724,TIE1,TIE1,HGNC:11809,left ventricle;aorta;ascending aorta;aortic arch;common carotid artery;internal carotid artery;ophthalmic artery;anterior ciliary artery
anterior ciliary artery,FMA:49962,endothelial cell of artery,endothelial cell of artery,CL:1000413,,,,,,,,,,,,,left ventricle;aorta;ascending aorta;aortic arch;common carotid artery;internal carotid artery;ophthalmic artery;anterior ciliary artery
anterior ciliary artery,FMA:49962,fibroblast,fibroblast,CL:0000057,AIFM2,AIFM2,HGNC:21411,DDR2,DDR2,HGNC:2731,,,,,,,left ventricle;aorta;ascending aorta;aortic arch;common carotid artery;internal carotid artery;ophthalmic artery;anterior ciliary artery
anterior ciliary artery,FMA:49962,vascular smooth muscle cell,vascular associated smooth muscle cell,CL:0000359,ACTA2,ACTA2,HGNC:130,CNN1,CNN1,HGNC:2155,MYOCD,MYOCD,HGNC:16067,TAGLN,TAGLN,HGNC:11553,left ventricle;aorta;ascending aorta;aortic arch;common carotid artery;internal carotid artery;ophthalmic artery;anterior ciliary artery
anterior ciliary vein,FMA:51798,blood vessel endothelial cell,blood vessel endothelial cell,CL:0000071,CDH5,CDH5,HGNC:1764,PECAM1,PECAM1,HGNC:8823,TEK,TEK,HGNC:11724,TIE1,TIE1,HGNC:11809,right atrium;superior vena cava;brachiocephalic vein;internal jugular vein;inferior petrosal sinus;cavernous sinus;superior ophthalmic vein;anterior ciliary vein
anterior ciliary vein,FMA:51798,endothelial cell of vein,vein endothelial cell,CL:0002543,,,,,,,,,,,,,right atrium;superior vena cava;brachiocephalic vein;internal jugular vein;inferior petrosal sinus;cavernous sinus;superior ophthalmic vein;anterior ciliary vein
anterior communicating artery,UBERON:0006764,blood vessel endothelial cell,blood vessel endothelial cell,CL:0000071,CDH5,CDH5,HGNC:1764,PECAM1,PECAM1,HGNC:8823,TEK,TEK,HGNC:11724,TIE1,TIE1,HGNC:11809,left ventricle;aorta;ascending aorta;aortic arch;common carotid artery;internal carotid artery;anterior cerebral artery;anterior communicating artery
anterior communicating artery,UBERON:0006764,endothelial cell of artery,endothelial cell of artery,CL:1000413,,,,,,,,,,,,,left ventricle;aorta;ascending aorta;aortic arch;common carotid artery;internal carotid artery;anterior cerebral artery;anterior communicating artery
anterior communicating artery,UBERON:0006764,fibroblast,fibroblast,CL:0000057,AIFM2,AIFM2,HGNC:21411,DDR2,DDR2,HGNC:2731,,,,,,,left ventricle;aorta;ascending aorta;aortic arch;common carotid artery;internal carotid artery;anterior cerebral artery;anterior communicating artery
anterior communicating artery,UBERON:0006764,vascular smooth muscle cell,vascular associated smooth muscle cell,CL:0000359,ACTA2,ACTA2,HGNC:130,CNN1,CNN1,HGNC:2155,MYOCD,MYOCD,HGNC:16067,TAGLN,TAGLN,HGNC:11553,left ventricle;aorta;ascending aorta;aortic arch;common carotid artery;internal carotid artery;anterior cerebral artery;anterior communicating artery
anterior deep temporal artery,FMA:49745,blood vessel endothelial cell,blood vessel endothelial cell,CL:0000071,CDH5,CDH5,HGNC:1764,PECAM1,PECAM1,HGNC:8823,TEK,TEK,HGNC:11724,TIE1,TIE1,HGNC:11809,left ventricle;aorta;ascending aorta;aortic arch;common carotid artery;external carotid artery;maxillary artery;anterior deep temporal artery
anterior deep temporal artery,FMA:49745,endothelial cell of artery,endothelial cell of artery,CL:1000413,,,,,,,,,,,,,left ventricle;aorta;ascending aorta;aortic arch;common carotid artery;external carotid artery;maxillary artery;anterior deep temporal artery
anterior deep temporal artery,FMA:49745,fibroblast,fibroblast,CL:0000057,AIFM2,AIFM2,HGNC:21411,DDR2,DDR2,HGNC:2731,,,,,,,left ventricle;aorta;ascending aorta;aortic arch;common carotid artery;external carotid artery;maxillary artery;anterior deep temporal artery
anterior deep temporal artery,FMA:49745,vascular smooth muscle cell,vascular associated smooth muscle cell,CL:0000359,ACTA2,ACTA2,HGNC:130,CNN1,CNN1,HGNC:2155,MYOCD,MYOCD,HGNC:16067,TAGLN,TAGLN,HGNC:11553,left ventricle;aorta;ascending aorta;aortic arch;common carotid artery;external carotid artery;maxillary artery;anterior deep temporal artery
anterior division of internal iliac artery,FMA:69797,blood vessel endothelial cell,blood vessel endothelial cell,CL:0000071,CDH5,CDH5,HGNC:1764,PECAM1,PECAM1,HGNC:8823,TEK,TEK,HGNC:11724,TIE1,TIE1,HGNC:11809,left ventricle;aorta;ascending aorta;aortic arch;descending aorta;descending thoracic aorta;abdominal aorta;common iliac artery;internal iliac artery;anterior division of internal iliac artery
anterior division of internal iliac artery,FMA:69797,endothelial cell of artery,endothelial cell of artery,CL:1000413,,,,,,,,,,,,,left ventricle;aorta;ascending aorta;aortic arch;descending aorta;descending thoracic aorta;abdominal aorta;common iliac artery;internal iliac artery;anterior division of internal iliac artery
anterior division of internal iliac artery,FMA:69797,fibroblast,fibroblast,CL:0000057,AIFM2,AIFM2,HGNC:21411,DDR2,DDR2,HGNC:2731,,,,,,,left ventricle;aorta;ascending aorta;aortic arch;descending aorta;descending thoracic aorta;abdominal aorta;common iliac artery;internal iliac artery;anterior division of internal iliac artery
anterior division of internal iliac artery,FMA:69797,vascular smooth muscle cell,vascular associated smooth muscle cell,CL:0000359,ACTA2,ACTA2,HGNC:130,CNN1,CNN1,HGNC:2155,MYOCD,MYOCD,HGNC:16067,TAGLN,TAGLN,HGNC:11553,left ventricle;aorta;ascending aorta;aortic arch;descending aorta;descending thoracic aorta;abdominal aorta;common iliac artery;internal iliac artery;anterior division of internal iliac artery
anterior ethmoidal artery,UBERON:0012318,blood vessel endothelial cell,blood vessel endothelial cell,CL:0000071,CDH5,CDH5,HGNC:1764,PECAM1,PECAM1,HGNC:8823,TEK,TEK,HGNC:11724,TIE1,TIE1,HGNC:11809,left ventricle;aorta;ascending aorta;aortic arch;common carotid artery;internal carotid artery;ophthalmic artery;anterior ethmoidal artery
anterior ethmoidal artery,UBERON:0012318,endothelial cell of artery,endothelial cell of artery,CL:1000413,,,,,,,,,,,,,left ventricle;aorta;ascending aorta;aortic arch;common carotid artery;internal carotid artery;ophthalmic artery;anterior ethmoidal artery
anterior ethmoidal artery,UBERON:0012318,fibroblast,fibroblast,CL:0000057,AIFM2,AIFM2,HGNC:21411,DDR2,DDR2,HGNC:2731,,,,,,,left ventricle;aorta;ascending aorta;aortic arch;common carotid artery;internal carotid artery;ophthalmic artery;anterior ethmoidal artery
